2022-08-03 13:18:43.506252: ('tomato', '3.8.2022')2022-08-03 13:19:29.177924: (322781595, 'tomato', '3.8.2022')2022-08-03 13:19:47.679139: (322781595, 'tomato', '3.8.2022')
2022-08-03 13:20:06.548669: (322781595, 'tomato', '3.8.2022')
2022-08-03 13:20:31.512949: (322781595, 'tomato', '3.8.2022')
2022-08-03 13:31:58.811819: (583250300, 'honey', '13.13.2021')
2022-08-03 13:32:47.770832: (583250300, 'кетчуп', '34.04.2200')
2022-08-03 14:24:32.421906: (322781595, 'tomato', '3.8.2022')
2022-08-03 14:24:36.991675: (322781595, 'tomato', '3')
2022-08-03 14:24:54.177602: (322781595, 'tomato', '3.8.2022')
2022-08-03 14:29:15.777126: (322781595, 'tomato', '3.8.2022')
2022-08-03 14:29:24.836442: (322781595, 'tomato', '3.8.2')
2022-08-03 14:29:35.279943: (322781595, 'tomato', '2.8.2022')
2022-08-03 14:29:50.890305: (322781595, 'tomato', '3.8.20')
2022-08-03 14:29:55.452767: (322781595, 'tomato', '3.8.2020')
2022-08-03 14:30:16.342467: (322781595, 'tomato', '3.7.2022')
2022-08-03 14:30:20.571069: (322781595, 'tomato', '3.8.2020')
2022-08-03 14:30:27.468213: (322781595, 'tomato', '2.8.2022')
2022-08-03 14:30:34.646912: (322781595, 'tomato', '1.8.2022')
2022-08-03 14:30:50.953667: (322781595, 'tomato', '31.8.2022')
2022-08-03 14:31:06.928190: (322781595, 'tomato', '3.8')
2022-08-03 14:31:06.931767: ('error', 322781595, 'tomato', ['3', '8'], 'wrong date format')
